SKU,PRODUCT_NAME,BRAND_NAME,SUBCATEGORY,CLASS,SPECIES,ECOMM_SHORT_DESCRIPTION,ECOMM_LONG_DESCRIPTION,PRODUCT_SIZE,CBD_RANGE,THC_RANGE,LLM_MENU_DESCRIPTION
1019082,SALTED CARAMEL CHOCOLATE SQUARE 1:1,Foray,Edibles,Chocolate,BLEND,Salted caramel chocolate with 10mg THC and 10mg of CBD. ,Square of salted caramel chocolate with 10mg THC and 10mg of CBD. Using chocolate supplied by Barry-Callebaut (one of world’s largest chocolate suppliers) and a blend of CO2 extracted cannabis distillate. ,10g,10mg,10mg,Indulgent salted caramel chocolate square with equal parts THC and CBD for a balanced and flavorful experience. Enjoy 10mg of each cannabinoid.
1028133,TROPIC THUNDER J'S PRE-ROLLS,Shred,Pre-roll,Blend,HYBRID,14-pack of hybrid pre-rolls with citrus and tropical aromas.,These hybrid pre-rolls come in a pack of 14 and include a combination of cultivars with citrus and tropical aromas.,7g,0–0.7%,18–24.4%,"Get ready for a tropical citrus blast with Tropic Thunder J's. Enjoy the hybrid blend in convenient pre-rolls, perfect for a flavorful high."
1030063,DOSECANN OMEGA CBD 25 SOFTGELS,Dosecann,Ingestible Extracts,Capsule and Pills,HYBRID,Softgel capsules with CBD isolate and sustainably-sourced Hemp oil (Cannabis sativa seed oil).,"Dosecann’s Omega CBD 25 Soft Gels, made from a potent blend of CBD isolate and pure, sustainably-sourced Hemp seed oil (Cannabis sativa seed oil). Their soft gels capsules are meticulously crafted to provide you with consistent, high-quality dosing every time you use them. At Dosecann, they're passionate about using only the finest natural ingredients to offer you the ultimate CBD experience. Trust Dosecann to deliver unparalleled quality and consistency with every soft gel.",30each,750mg,30mg,CBD softgel capsules with sustainably-sourced hemp oil for a calming and natural remedy. Easy to use and effective for relaxation and wellness.
1036201,ULTRA SOUR,Big Bag O' Buds,Flower,Sativa,SATIVA,"High-THC, sativa-dominant flower with a sweet and fruity aroma. ","Ultra Sour by Big Bag O'Buds is a high-THC, sativa-dominant flower with orange pistils from deep green, crystal rich buds. With terpenes, terpinolene, limonene and caryophyllene, Ultra Sour has tart undertones and diesel, pungent notes with a sweet, fruit aroma. ",28g,0–0.1%,23–29%,"Ultra Sour is a high-THC, sativa-dominant flower known for its sweet and fruity aroma."
1039247,BERRY GOOD DAY CBD GUMMIES,Monjour,Edibles,Chews,HYBRID,"Berry-flavoured, vegan gummies with 20mg of CBD each. ","These Monjour’s gummies contains 20mg CBD per piece. They are made from natural colours and are available in different sizes. Each pack features a mix of Blueberry, Strawberry, and Wild Berry flavours. Made with CBD Isolate and natural flavours.",135g,600mg,0–1.5mg,Vegan berry-flavoured CBD gummies with 20mg each. Perfect for a relaxing day with a sweet treat.
1046903,HGH PRE-ROLLS,Castle Rock Farms,Pre-roll,Indica,INDICA,"10-pack of high-THC, indica-dominant pre-rolls.","HGH was bred by combining GMO with Bruce Banner. These legendary cultivars are behind this beautiful indica-dominant flower. These buds grow large, dense, and covered in trichomes. Terpenes include caryophyllene, myrcene, and farnesene.",3.5g,0–0.8%,28–34%,10-pack of potent indica pre-rolls with high THC content. Perfect for relaxation and unwinding after a long day. Enjoy the smooth smoke.
1050095,ICE WATER HASH,Nugz,Inhalable Extracts,Hash,BLEND,1g of premium bubble hash expertly extracted by ice water.,"Nugz Ice Water Hash is a premium bubble hash derived from their rare genetic library, delivering true-to-strain terpene and flavour profiles. Produced using solventless extraction, Ice Water Hash is agitated and sieved in ice water to extract mature trichome heads and resin from whole buds. Nugz Ice Water Hash is offered in a rotation of single-strain genetics including Early Lemon Berry, Gelato Mint, Cuban Linx, Terple, Power Sherb, and Slapz.",1g,0–2%,60–66%,"1g of premium ice water hash, expertly extracted for a smooth and potent experience. Pure flavor and strong effects in every hit."
1050186,AMHERST SOUR DIESEL PRE-ROLLS,Common Ground,Pre-roll,Sativa,SATIVA,"Ten-pack of sativa-dominant, half-gram pre-rolls with ripe fruit, incense, and exotic wood flavours.","Amherst Sour Diesel is a Chemdog and Amherst Super Skunk, sativa-forward cross that features elongated, bright green, compact buds. In addition to a gassy aroma, it also delivers a complex flavour profile with a powerful punch of ripe fruit, incense, and exotic wood. Includes terpenes of Caryophyllene, Farnesene, and Myrcene. These pre-rolls are made from all bud - not shake - and rolled with a lightweight, organic hemp paper and mouthpiece for a smooth, even burn. Hang-dried, hand-trimmed, packaged inside FSC-certified cardboard boxes, and fresh-sealed inside a 100% recyclable, child-resistant pouch for optimal moisture content and shelf-life.",5g,0–5%,18–24%,"Ten-pack of Amherst Sour Diesel pre-rolls, sativa-dominant with fruity, incense, and exotic wood flavors. Perfect for a uplifting and energizing experience."
1051382,GLUERANGUTAN LIVE ROSIN ,GOOD BUDS,Inhalable Extracts,Resin and Rosin,HYBRID,1g of hybrid live rosin with notes of sweet and sour orange-lemon zest.,"Gluerangutan is a back-cross of the popular legacy strain Harambe (OG Kush x GG4 x Hash Plant). It flourishes on the ocean-kissed, FVOPA Certified Organic Salt Spring Island farm. Gluerangutan is a hybrid strain bursting with sweet and sour orange-lemon zest aromas, with gassy undertones and a fresh mountain pine finish. The top cut from a 100,000+ pheno hunt, Gluerangutan Live Rosin is squished in small batches from organically grown, fresh frozen hash, exclusively on Salt Spring Island, BC.",1g,0–5%,70–75%,1g of hybrid live rosin with a tasty blend of sweet and sour orange-lemon zest flavors. Unique and flavorful high.
1058395,HEAVY HITTER LEBANESE HASH INFUSED PRE-ROLL,1964,Inhalable Extracts,Infused Pre-roll,INDICA,Heavy-hitting flower infused with Lebanese Hash rolled into a 1g pre-roll.,The Heavy Hitter Flower and Lebanese Hash Infused Pre-roll combines the high-potency Lebanese Hash with some of our most popular organic flowers resulting in a smooth smoke.,1g,0–2%,32–38%,1g pre-roll with heavy-hitting Lebanese Hash-infused flower for a potent and flavorful experience.
1058882,PHOENIX TEARS ,Stigma Grow,Inhalable Extracts,Other Inhalable Extracts,INDICA,Full-spectrum extract with subtle flavours and aromas of herbs and spices.,"Pheonix Tears is a full-spectrum extract offering ultra-concentrated, fully decarboxylated honey-like resin. Also referred to as RSO, this compound features a wide range of cannabinoids and showcases the rare strain of Tranquil Elephantizer. Featuring subtle flavours and aromas of herbs and spice with top terpenes including Geraniol, Menthol, and Pinene.",1g,15–20%,55–61%,"Phoenix Tears is a full-spectrum extract with a blend of herbs and spices, offering a unique and flavorful experience."
1060995,RL FRT STRAWBERRY CBD GUMMIES,WYLD,Edibles,Chews,HYBRID,10 strawberry-flavoured gummies with 20mg CBD and 1mg THC per gummy.,"Wyld Strawberry Hybrid Enhanced CBD:THC gummies are a 20:1, CBD-dominant 10-pack made sustainably with real fruit, botanical terpenes, natural flavours, and compostable packaging. 20mg CBD and 1mg THC per gummy, with ten gummies per pack for a total of 200mg CBD and 10mg THC.",40g,200mg,10mg,"Tasty RL FRT STRAWBERRY CBD GUMMIES deliver 20mg CBD, 1mg THC per gummy for a relaxing experience with a sweet strawberry taste."
1062735,CUBAN LINX LIVE RESIN VAPE CARTRIDGE,Tribal,Inhalable Extracts,Cartridge,SATIVA,"Sativa-dominant, live resin vape with traditional Haze flavour.","Cuban Linx Live Resin 1g Vape cart has one ingredient, fresh-frozen Cuban Linx flower (TK Skunk x Trigerian). Powerful and loaded with a traditional Haze flavour identical to the flower, now offered as a live resin full-spectrum extract. This vape cart delivers an elevated cannabinoid and terpene experience with dominant terpenes including Terpinolene, Ocimene, and Caryophyllene. Their cryogenic extraction process preserves the profile of the flower and offers the highest levels of purity by preferentially extracting the cannabinoids, terpenes, and flavonoids.",1g,0–2%,74–80%,Energizing sativa live resin vape cartridge with classic Haze flavor. Ideal for a uplifting and creative high.
1062738,TRIPLE BURGER,Tribal,Flower,Indica,INDICA,"Indica-dominant strain offering strong gas flavour with hints of skunk, rubber, cheese, and sweetness.","The GMO is strong with this one. Triple Burger is bred by back-crossing (GMO x GMO) to stabilize the strain, then crossing that linage with Han-Solo Burger (Larry OG X GMO Cookies). Its calyxy, gasoline scented flowers are something any connoisseur will lust after. Its intense fuel aroma gives way to an equally strong gas flavour in its smoke. Hints of skunk, rubber, cheese, and sweetness are also present. Dominant terpenes include Caryophyllene, Farnesene, and Linalool. One of the most potent strains in Tribal's line-up.",3.5g,0–2%,26–32%,"Triple Burger is a potent indica-dominant strain with a unique taste profile of gas, skunk, rubber, cheese, and sweetness."
1062751,MOLLO ORCHARD CHILL'R (10MG THC | 10 MG CBG),Mollo 10,Beverages,Carbonated Drink,BLEND,Crisp apple cider with 10mg THC and 10mg CBG.  ,Crisp and refreshing apple cider with 10mg THC and 10mg CBG.  Best served in a chilled glass over ice.,355,0.9mg,10mg,Mollo Orchard Chill'r: Refreshing apple cider with a kick of 10mg THC and 10mg CBG for a relaxing and flavorful experience.
1062809,THC 10 SOFTGELS,Glacial Gold,Ingestible Extracts,Capsule and Pills,BLEND,100-pack of MCT-based softgels with 10mg of THC per softgel.,"Glacial Gold THC 10 Softgels feature certified-organic MCT oil derived from coconuts, infused with high-purity THC distillate from Nextleaf Labs. Available in a large format 100-pack providing the maximum allowed 1000mg total THC per package. ",34.5g,0–50mg,900–1000mg,Convenient 100-pack of MCT-based softgels with 10mg of THC each for easy dosing and consistent effects.
1063214,PEACH MANGO CBD,Pearls by gron,Edibles,Chews,BLEND,25 soft chews with peach-mango flavour and 30mg CBD per piece.,"For those who want a high CBD (30mg/piece) in a convenient soft chew AND with the delicious flavour and texture that comes with a Pearl soft chew, this is the product to get. Each pack has 25 pieces and 750mg of CBD.",87.5g,750mg,0–1mg,Tasty peach-mango CBD chews with 30mg per piece. Enjoy the fruity flavor while experiencing the calming effects of CBD.
1063451,PINK GOO PRE-ROLLS,Pistol and Paris,Pre-roll,Indica,INDICA,10-pack of indica-dominant pre-rolls offering sweet and rich flavours of floral and earth.,"This cultivar's name comes from its ultra sticky appearance. It consists of resinous droplets of dew on the sugary leaves of the often pink and purple, fluorescent flower centers that leach over to the contrasting darker green buds. With the incredible tree-like trait to ooze sap from seemingly out of nowhere, with a sweet and pleasantly rich flavours of floral and earth that creates a smooth smoke, hitting the lungs with ease.",5g,0–1%,24–29%,"10-pack of Pink Goo pre-rolls, indica-dominant with sweet floral and earthy flavors. Enjoy a relaxing and flavorful smoking experience."
1063541,CBD 50 SOFTGELS,Glacial Gold,Ingestible Extracts,Capsule and Pills,BLEND,50-pack of CBD softgels made with MCT oil and contain 50mg CBD in each.,Introducing Glacial Gold CBD 50 Softgels 50-pack containing 2500 mg CBD. Glacial Gold CBD 50 Softgels are made with organic MCT oil from coconuts and high-purity distillates from Nextleaf Labs. ,17.25g,2250–2750mg,0–50mg,"Convenient CBD softgels with 50mg of CBD each, made with MCT oil for easy absorption. Perfect for daily use and relaxation."
1063696,BLUEBERRY BLASTER HEAVIES INFUSED PRE-ROLLS,Shred X,Inhalable Extracts,Infused Pre-roll,BLEND,Three-pack of distillate and diamond infused pre-rolls with smooth blueberry flavour.,"Get ready for your tastebuds to blast-off, blueberry style, with these new SHRED X Heavies. These Blueberry Blaster infused pre-rolls deliver an aromatic and smooth blueberry and kush experience thanks to the perfect botanical terp infusion, and with the added combo of diamonds and distillate. Boasting an ultra-heavy 40%+ THC.",1.5g,0–0.1%,40–46%,Smooth blueberry-flavored pre-rolls infused with distillate and diamonds. Three-pack for a heavy hit.
1064196,CHERRY BOMB,Jonny Chronic,Flower,Sativa,SATIVA,"High-THC, outdoor-grown, sativa-dominant strain bred from crossing Mama’s Chili Bomb and Headspace.","Cherry Bomb from Jonny Chronic is a potent sun-grown, sativa-dominant strain that produces dense, light green buds with golden-orange pistil and a thick frosting of trichomes. Created from crossing complex parents, Mama’s Chili Bomb and Headspace share legendary genetics from OG Kush, Tangerine Dream, and a Hawaiian Landrace. Cultivated in Southwestern Ontario under the sun, all of their plants are hang dried and cured before the team goes through and carefully selects top colas to then be hand trimmed and hand packed in-house. Dominant terpenes include Myrcene, Limonene, and Linalool.",14g,0–2%,26–30%,"CHERRY BOMB: A fruity and potent sativa strain with high THC levels, perfect for an energizing and uplifting experience. Outdoor-grown for quality."
1064819,THC TABLETS,Indiva Blips,Ingestible Extracts,Capsule and Pills,BLEND,55-pack of THC tablets containing 10mg THC per piece.,"These THC tablets are small, highly portable, and made with high-quality distillate and MCT oil. 55 pieces per container and 10mg THC per piece.",19.8g,0–2.2mg,550mg,Convenient 55-pack of THC tablets with 10mg THC each for easy dosing. Great for discreet and precise consumption on-the-go.
1064888,SENORITA MANGO,Second Nature,Beverages,Carbonated Drink,BLEND,"Mango-flavoured beverage with lime juice, blue agave, and fast-acting 10mg THC.","Lush, perfectly ripe mango dominates the flavour profile but is underpinned with lime juice to make sure it’s bright and well balanced. There is a gentle blue-agave flavour throughout and a touch of Himalayan salt for complexity and drinkability. There is 10mg of Vertosa’s 03 emulsion which has a fast onset and minimal cannabis flavour.",355,0mg,10mg,Taste the tropical vibes with Senorita Mango - a refreshing beverage infused with 10mg THC for a quick and enjoyable high.
1064935,DEATH BUBBA PRE-ROLLS,Pistol and Paris,Pre-roll,Indica,INDICA,"Three-pack of high-THC, indica-dominant pre-rolls with a pine aroma and a spiced, earthy, gas flavour.","A British Columbia classic, Death Bubba is known as a heavy indica. The spade-shaped buds are dense and large, finished with a thick layer of frost - expect sticky fingers from this flower. Upon opening, a clean pine aroma greets the nose with a pungent flavour of spiced, earthy gas. Top terpenes include Farnesene, Caryophyllene, and Limonene",1.5g,0–1%,25–30%,Three-pack of potent Death Bubba pre-rolls with pine aroma and spiced gas flavor. Indica-dominant for relaxing effects. High-THC content.
1064936,ROCKSTAR PRE-ROLLS,Pistol and Paris,Pre-roll,Indica,INDICA,"Three-pack of high-THC, indica-dominant pre-rolls offering a sweet, pungent scent with a similar flavour.","Popular with BC growers, Rockstar is a cross of Sensi Star x Rockbud. It’s often chosen for being a heavy indica with resinous buds and a strong skunk lineage. The sweetly pungent scent will grab your attention delivering a similar flavour with a gassy, oily essence. Top terpenes include Caryophyllene, Beta-Myrcene, and Limonene. The bouncy olive green nugs are medium in size with a generous covering of orange hairs.",1.5g,0–1%,25–30%,"Three-pack of ROCKSTAR PRE-ROLLS: sweet, pungent indica with high THC. Enjoy the unique flavour and effects in convenient pre-rolled joints."
1065006,LIVE ROSIN SOFTGELS 10MG ,Simply Bare,Ingestible Extracts,Capsule and Pills,HYBRID,"30 full-spectrum, live rosin softgels with 10mg THC in each.","Get full spectrum these Live Rosin Softgels. These organic 10mg THC softgels come in a pack of 30, and will contain input from one of their many organic-certified cultivars. Each softgel starts with flower, hand trimmed, and grown in living soil, then expertly pressed into live rosin and packed into softgels with hemp seed oil.",10.5g,0mg,300mg,"30 softgels with 10mg THC each, made from full-spectrum live rosin. Convenient and potent for easy dosing and a full-spectrum experience."
1065259,LA KC X ANIMAL STYLE LIVE ROSIN VAPE CARTRIDGE,Brindle Farms,Inhalable Extracts,Cartridge,INDICA,"Indica-dominant, live rosin cart offering a unique garlic, savory flavour with a spicy, pungent aftertaste.","High-quality live rosin in a vape cartridge, and nothing else. 100% solventless hash oil without adulterants or additives. This curated blend has resulted in a well-rounded, hard-hitting, indica-dominant profile, paying homage to its Animal Style x LA KC lineage. Notes of earthy, gas, sour, vanilla, and coffee bean, with a unique garlic, savory flavour and spicy, pungent aftertaste. ",0.5g,0–1%,75–80%,"LA KC X Animal Style live rosin vape cartridge: Indica-dominant with garlic and savory flavor, followed by a spicy, pungent aftertaste. Unique and potent."
1065324,RAINBOW DRIVER VAPE CARTRIDGE,Woody Nelson,Inhalable Extracts,Cartridge,HYBRID,"Hybrid, cured resin vape with notes of sweet gas.",Woody Nelson's Rainbow Driver Vape is a 1g cartridge of cured resin extract fitted for a 510-thread battery. The flower was grown in organic living soil at an indoor vertical farm and processed by Wildcard Extracts with a hydrocarbon system. Made in BC,1g,0–2%,84–90%,Hybrid Rainbow Driver vape cartridge with sweet gas flavor. Enjoy the unique taste while experiencing a balanced effect.
1065374,ROTATING INDICA PRE-ROLLS,Happy Hour,Pre-roll,Indica,INDICA,"Two-pack of pre-rolls with a rotating, indica-dominant cultivar.","For those who love variety, Happy Hour offers an expertly curated selection of whole-flower indica, straight-cut style pre-rolls. Experience the unique characteristics of rotating indica-dominant cultivars with these convenient and consistently potent pre-rolls. Always above 20% THC, perfect for those looking for high-quality pre-rolls with the freshest harvest dates.",2g,0–1%,20–25%,"Two-pack of pre-rolls with rotating indica strains for a chill, relaxing experience. Enjoy different flavors and effects with each roll."
1065486,BABY JEETER MIXER PACK INFUSED PRE-ROLLS,Jeeter,Inhalable Extracts,Infused Pre-roll,HYBRID,Variety pack of five pre-rolls infused with liquid-diamond-enhanced distillate and coated in kief.,"Get ready, Canada! Jeeter is making its grand debut in the Great White North. Every meticulously crafted pre-roll is infused with liquid diamond enhanced distillate, botanical terpenes, crowned with a layer of kief, and charged with a burst of unparalleled flavour. Jeeter has landed. Experience their first drop of Baby Jeeter flavours in a single multipack. Exclusive to Canada, this assortment brings together Blue ZKZ, Fire OG, Strawberry Sour Diesel, Bubba G, and Mango Sherbs for an unparalleled tasting experience.",2.5g,0–2%,36–40%,Baby Jeeter Mixer Pack pre-rolls offer a variety of flavors with liquid-diamond-enhanced distillate and kief coating for a potent and flavorful smoking experience.
1065808,COMATOSE FSE RESIN VAPE CARTRIDGE,1964,Inhalable Extracts,Cartridge,INDICA,"Indica-dominant, cured resin vape with earthy, kushy flavours.","1964 legendary Comatose cultivar is now available in FSE resin-vape format. This heavy-hitting cultivar has been a fan favourite across Canada since launching. The earthy, kushy flavours are immediately noticeable, from the first draw to the last. All 1964 vape carts are made from cured flower for a flavour-forward vaporization experience, with hardware that has been rigorously tested for optimal performance.",1g,0–1%,74–80%,"Relaxing indica-dominant vape cartridge with earthy, kushy flavors. Perfect for unwinding after a long day."
1065809,BLUE DREAM FSE RESIN VAPE CARTRIDGE,1964,Inhalable Extracts,Cartridge,SATIVA,"Sativa-dominant, cured resin vape with hazy, blueberry flavours.","1964 legendary Comatose cultivar is now available in FSE resin-vape format. This heavy-hitting cultivar has been a fan favourite across Canada since launching. The earthy, kushy flavours are immediately noticeable, from the first draw to the last. All 1964 vape carts are made from cured flower for a flavour-forward vaporization experience, with hardware that has been rigorously tested for optimal performance.",1g,0–1%,74–80%,Sativa-dominant Blue Dream vape cartridge with hazy blueberry flavors. Enjoy the uplifting effects of this cured resin.
1065873,RETRO RAINBOW BURST 510 VAPE CARTRIDGE,BOXHOT 1000,Inhalable Extracts,Cartridge,HYBRID,"1.2g, hybrid vape boasting fruity flavours of cherry, grape, and lime.","BOXHOT PRESENTS: Rainbow Burst, a 1.2g 510-threaded vape boasting a colossal 1000mg of THC and some of the purest cannabis distillate available on the market. Live in technicolour with this tangy fruit infusion of cherry, grape, and lime. This colourful explosion of flavour will blow you away. All BOXHOT vapes are manufactured with exclusive, oversized hardware, making them optimized for big, full hits. Better yet, all BOXHOT vapes are produced with industry-leading CO2 extraction and refining processes and feature a custom blend of expertly infused botanical terpenes.",1.2g,0–1%,80–83.3%,"Retro Rainbow Burst vape cartridge is a 1.2g hybrid with cherry, grape, and lime flavors."
1065891,MELLOW MAN DF,FIGR,Flower,Indica,INDICA,"High-THC, indica-dominant flower offering flavours of vanilla and cherry.","Meet the Mellow Man! With bright citrusy notes and a down-to-earth finish, Mellow Man is bound to be your new best bud! This indica-leaning cultivar borrows its smooth vanilla taste, and punchy cherry notes from its parent cultivars Ice Cream Cake and Cherry Pie. Top terpenes include Caryophyllene, Nerolidol, and Limonene. FIGR dried flower products are hand selected to ensure dense, high-quality buds are in every package.",14g,0–5%,27–32%,MELLOW MAN DF is a potent indica-dominant flower with vanilla and cherry flavors. Perfect for relaxing and unwinding after a long day.
1065926,RAINBOW P PRE-ROLL,BLKMKT,Pre-roll,Sativa,SATIVA,"1g, high-THC, sativa-dominant pre-roll delivering gassy fuel on the nose with sweet blueberry on the exhale.","Rainbow P is the first sativa-dominant offering by BLKMKT. A cross of Grand Blueberry Pie x Zkittlez, this potent, high-THC sativa delivers gassy fuel on the nose, and a sweet blueberry finish on the exhale. As always, they only use whole handcrafted flower in their pre-rolls which are packed by centrifuge, hand-tamped, and hand-packaged in recyclable glass tubes with a custom Integra boost pack to ensure perfect moisture control. Top terpenes include Limonene, Linalool, and Myrcene.",1g,0–0.5%,27–32%,1g high-THC sativa pre-roll with gassy fuel and sweet blueberry flavors. Energizing effects with a unique aroma profile.
1066217,ORGANIC COMATOSE PRE-ROLLS,1964,Pre-roll,Indica,INDICA,"Five-pack of organic, high-THC, indica-dominant pre-rolls with earthy and citrusy aromas.","Comatose is a heavy kush and one of Canada's most popular legacy cultivars. This indica-dominant flower is reported to be a cross of OG Kush and another unknown indica. Comatose have dense, resinous flowers which produce high levels of THC and earthy, citrusy fragrances. Top terpenes include Caryophyllene, Farnesene, and Beta-Myrcene.",2.5g,0–1%,25–31%,"Organic Comatose pre-rolls: a five-pack of high-THC, indica-dominant joints with earthy and citrusy flavors. Great for relaxation and unwinding."
1066386,PINK SHERBS LIVE RESIN AIO DISPOSABLE PENS,Sherbinskis,Inhalable Extracts,Disposable Pens,HYBRID,"Disposable, hybrid, half-gram vape pen made with Pink Sherbs live resin.","This state-of-the-art, all-in-one vaporizer has been tuned specifically for 100% pure live resin oil that was made by blasting fresh-frozen flower through a hydrocarbon extraction process. This Pink Sherbs live resin brings a strong strawberry profile with hints of sweet cream that harken back to its gelato roots. This all-in-one bucks the long held tradition of SHERBINSKIS trademark orange hue, in favour of a beautiful pink that compliments its Pink Sherbs contents.",0.5g,0–2%,75–81%,Hybrid disposable vape pen with half-gram Pink Sherbs live resin. Convenient and flavorful for on-the-go use.
