SKU,PRODUCT_NAME,BRAND_NAME,SUBCATEGORY,CLASS,SPECIES,ECOMM_SHORT_DESCRIPTION,ECOMM_LONG_DESCRIPTION,PRODUCT_SIZE,CBD_RANGE,THC_RANGE,LLM_MENU_DESCRIPTION
1066964,RELIEF CHERRY COLA THC:CBC:CBG CHEWS,Wana Quick,Edibles,Chews,BLEND,"Two vegan, cherry-cola-flavoured gummies each containing 5mg of THC, CBG, and CBC.","A soothing splash of cherry cola flavour compliments 5mg each of THC, CBG, and CBC per gummy in this thoughtfully curated formulation. Made with a gluten-free and vegan recipe – these melt-proof gummies are made using a culinary innovation by Azuca Time Infusion TM and may result in a quicker onset time.",9g,0–1mg,10mg,"Vegan cherry cola gummies with 5mg each of THC, CBG, and CBC for a relaxing and soothing experience."
1066983,33 SPLITTER PRE-ROLLS,Woody Nelson,Pre-roll,Indica,INDICA,"Seven-pack of high-THC, indica-dominant pre-rolls with notes of cream and gas.","The Woody Nelson edition of the 33 Splitter genetic was bred by Uprising Seed Company and grown at an indoor vertical farm using organic living soil. This indica-dominant cultivar is rich in terpenes, including Limonene, Beta-Caryophyllene, and Beta-Myrcene with notes of cream and gas. The plant's dense, frosty buds are hand-trimmed, cured for a minimum of three weeks, and never irradiated. Each reusable sliding tin includes a Boveda humidity pack.",3.5g,0–1%,25–30%,Seven-pack of potent indica pre-rolls with creamy and gassy flavors. High-THC content for a relaxing and euphoric experience.
1067773,NORTHERN LIGHTS,Jonny Chronic,Flower,Indica,INDICA,"High-THC, indica-dominant flower with sweet, spicy, and musky notes.","Northern Lights from Jonny Chronic is a potent sun-grown, indica-dominant cultivar that produces dense green buds with a thick frosting of trichomes. Northern Lights is a landrace lineage crossing an Afghani x Thai cultivar, with caryophyllene, limonene, myrcene, and bisabolol terpenes. Cultivated in southwestern Ontario under the sun, all plants are hang-dried and cured before the team goes through and carefully selects top colas to then be hand-trimmed and hand-packed in-house.",14g,0–2%,26–30%,"High-THC indica NORTHERN LIGHTS flower with sweet, spicy, and musky flavors. Perfect for relaxation and stress relief."
1068034,NEON SUNSHINE LIVE RESIN VAPE,Tribal,Inhalable Extracts,Cartridge,HYBRID,"Hybrid, live resin vape boasting notes of cherries, tropical fruits, and a strong layer of fuel.","Coming from legendary breeder Exotic Genetics, Neon Sunshine (Zkittles x Falcon-9) is a mix of fruits and funk. Cherries, tropical fruits, and a strong layer of fuel make this cultivar a staple in a canna-enthusiasts rotation. Now available in a live resin vape cart!",1g,0–1%,76–82%,"Hybrid live resin vape with cherry, tropical fruit, and fuel flavors. Strong and unique."
1068098,COOKIE'Z,LowKey by MTL Cannabis,Flower,Sativa,SATIVA,"High-THC, sativa-dominant flower offering sweet, creamy notes.","LowKey’s Cookie’z (Platinum Cookies x Ice Cream) flower glitters under bright light, captivating the eye as its scent grabs the nose with a wave of cream and sweetness, as its name suggests, and the barest hint of spice, pine, and citrus for depth. Its trichome layer is dense enough to obscure leaves that range from seafoam to emerald, interspersed with indigo. Their recipe is complete with the saffron-orange threads this rare sativa-dominant phenotype exhibits throughout its robust, compact flowers. Terpenes include limonene, myrcene, and nerolidol. ",7g,0–6%,29–34%,"COOKIE'Z is a sativa-dominant flower with high THC levels, boasting sweet and creamy flavors for a delightful and uplifting experience."
1068124,NEON SUNSHINE,Tribal,Flower,Hybrid,HYBRID,"High-THC, hybrid flower boasting sweet and tangy flavours.","Introducing Tribal's Neon Sunshine. Created by legendary breeder, Exotic Genetix, Neon Sunshine is Zkittles x Falcon 9. Sweet and tangy flavours meet vibrant and frosty flowers. Terpenes include limonene, caryophyllene, and farnesene.",3.5g,0–2%,26–32%,NEON SUNSHINE: A potent hybrid strain with a deliciously sweet and tangy taste. Get ready for a high-THC experience with this unique flower.
1068204,PURPLE PEOPLE EATER PRE-ROLLS,MinPins,Pre-roll,Indica,INDICA,"10-pack of high-THC, indica-dominant, 0.35g pre-rolls delivering rich berry and grape notes.","Purple People Eater is a no-nonsense expression of strong Indica-dominance. Drenched in deep violet hues with fiery orange pistils and dark green undertones, this beauty is a flawless offspring of the legendary Grand Daddy Purple and the unmistakable Afghan Kush. California’s finest meets the soul of the Hindu Kush Mountains, delivering rich berry and grape notes along the way. All that goodness, perfectly packed into a 10-pack of sleek, masterfully rolled minis—ready when you are. Terpenes include caryophyllene, pinene, and myrcene.",3.5g,0–2%,26–30%,"Purple People Eater pre-rolls offer a potent, indica-dominant experience with fruity berry and grape flavors in a convenient 10-pack."
1068226,TRIPLE BURGER TRIFECTA INFUSED PRE-ROLLS,Tribal,Inhalable Extracts,Infused Pre-roll,INDICA,"Three-pack of indica-dominant pre-rolls infused with live resin, terpene sauce, and diamonds.","Tribal Trifecta. No fake terpenes, no distillate. Tribal Trifecta Triple Burger 3 x 0.6g Infused Pre-rolls start with Triple Burger flower that is triple infused with Triple Burger live resin, terpene sauce, and THCA diamonds. Rolled in a premium paper and finished with a ceramic tip. Live Resin + Terpene Sauce + THCA diamonds, the Tribal Trifecta!",1.8g,0–6%,37–43%,"Three-pack of indica pre-rolls with live resin, terpene sauce, and diamonds for a flavorful and potent smoking experience."
1068276,TASTER PACK DISTILLATE INFUSED PRE-ROLLS,General Admission,Inhalable Extracts,Infused Pre-roll,BLEND,"Multi-pack containing three half-gram, distillate-infused pre-rolls.","A true infusion of top-notch flavour that’s not only bold but balanced,​ General Admission is bringing the mixer pack. Discover their core distillate flavour line with a bonus new infused flavour. Sourced from quality whole-flower cultivars, infused with their signature distillate and botanical terpenes, then dusted in premium kief, this is not just any squish in a stick.",2.5g,0–2%,36–40%,Try out a variety of flavors and effects with our Taster Pack Distillate Infused Pre-Rolls. Each pack includes three half-gram pre-rolls for a unique smoking experience.
1068316,BIG SMALLZ - BLK MLK,TENZO,Flower,Indica,INDICA,"High-THC, indica-dominant smalls delivering sweet berry, cake, and kush notes.","Introducing Big Smallz - A curated collection of genetics with a focus on bag appeal grown to craft standards and offered in iced-out smalls. The first drop of BLK MLK is a heavy-hitting, indica-dominant cultivar delivering sweet berry, cake, and kush notes. Avant flower is always hang-dried, hand-trimmed, and cold cured, from their own genetics, growers, and grown in their facilities in BC. Terpenes include limonene, myrcene, and caryophyllene.",14g,0–1%,26–32%,"High-THC indica smalls with sweet berry, cake, and kush flavors. Ideal for relaxation."
1068327,BBOB BLUEBERRY DREAM DRIED FLOWER,Big Bag O' Buds,Flower,Sativa,SATIVA,"Sativa-dominant flower with sweet, floral, and berry aromas.","Big Bag o' Buds brings you Blueberry Dream, a sativa-dominant powerhouse that’s as bold as it is smooth. A cross of Blueberry Kush x Blue Dream, this cultivar delivers sweet, floral, and berry aromas with terpenes including limonene, terpineol, and beta-caryophyllene.",28g,0–0.1%,22–28%,"BBOB Blueberry Dream dried flower is a sativa-dominant strain with sweet, floral, and berry aromas for a dreamy and uplifting experience."
1068339,KUSH BREATH,The Original Fraser Valley Weed Co.,Flower,Indica,INDICA,"Indica-dominant flower with dank aromas of earth, herbs, and a hint of vanilla.","An ounce of Kush Breath. An indica-dominant cultivar with dank aromas of earth, herbs, and a hint of vanilla. Each ounce bag is filled with quality bud, greenhouse-grown in the Fraser Valley. Terpenes include caryophyllene, myrcene, and beta-pinene.",28g,0–1%,24–30%,"Kush Breath is a relaxing indica-dominant strain with earthy, herbal flavors and a touch of vanilla. Perfect for winding down."
1068360,ZEBRA STRIPES LTO,Carmel,Flower,Indica,INDICA,"High-THC, indica-dominant flower with sweet and tangy notes.","Available for a limited time only. Zebra Stripes, bred by Seed Junky, is a cross between Lemon Cherry Gelato and Animal Cookies BX. Upon the first inhale, expect a smooth, flavourful smoke bursting with sweet and tangy notes, reminiscent of Gelato, with subtle hints of candy and gas. As you exhale, a creamy, almost vanilla-like undertone lingers on the palate. Terpenes include limonene, linalool, and caryophyllene. Carmel’s flower is hang-dried, hand-trimmed, slow cold-cured, and hand-packaged. Fresh and terpy is best, so it’s packed in nitrogen-flushed pouches with a humidity pack.",3.5g,0–2%,28–34%,"Zebra Stripes LTO: Indica flower with high THC levels, boasting a sweet and tangy flavor profile. Ideal for relaxation and mood enhancement."
1068388,KOOL CHERRY-LIQUID DIAMOND BLEND CARTRIDGE,Trippy Sips,Inhalable Extracts,Cartridge,SATIVA,"Sativa-dominant, distillate-and-diamond cart boasting a sweet cherry flavour.","Try the refreshing sweet cherry taste of Kool Cherry, infused with high-potency THC distillate, blended with liquid diamonds, and flavoured with amazing botanical terpenes.",0.95g,0–2%,92–96%,"Sativa-dominant cartridge with sweet cherry flavor, made with distillate and diamond blend for a unique and refreshing experience."
1068390,ICE BURN BUBBLE HASH INFUSED PRE ROLLS,Koots Canna,Inhalable Extracts,Infused Pre-roll,INDICA,"Three-pack of indica-dominant, bubble-hash-infused pre-rolls boasting cool gas with creamy undertones.","Ice Burn Bubble Hash Infused Pre-rolls are a sensory trip through fire and frost. With single-strain flower and hash, this frosty purple flower meets rich bubble hash in this bold fusion of potency and flavour. Menthol brings the bite, Lava Cake brings the smooth—together they create a dense, delicious smoke with cool gas and creamy undertones. Fiery, icy, and not afraid to leave an impression.",1.5g,0–0.6%,45–50%,Three-pack of indica-dominant pre-rolls infused with bubble hash. Features cool gas flavor with creamy undertones. Smooth and potent.
1068447,SOUR ANIMAL PURE LIVE ROSIN CARTRIDGE LTO,Brindle Farms,Inhalable Extracts,Cartridge,SATIVA,"Limited-time-only, sativa-dominant, live rosin cart.","Available for a limited time only. Brindle Farms' Sour Animal 1 Gram Live Rosin Vape Cartridges are created with pure live rosin, and no additives. Sour Animal is a cross between Sour Diesel and Animal Cookies BX2 bred by J.Beezy from Seed Junky Genetics, with the latter being the male. The chosen phenotype is Diesel dominant, providing a sativa-influenced onset by a heavy-hitting initial rush due to an indica-based influence from the Animal Cookies. Sour Animal is a long flowering cultivar, requiring up to 12 weeks to fully mature.",1g,0–1%,72–78%,"Limited-time-only sativa-dominant live rosin cartridge with a sour animal flavor. High-quality, potent, and perfect for a unique vaping experience."
1068604,SUPER LEMON HAZE SMALLS,Uncle Bob,Flower,Sativa,SATIVA,"High-THC, sativa-dominant smalls with aromas of citrus, gas, and fruit.","Uncle Bob’s Smalls are carefully cultivated and processed to ensure a potent cannabis experience in a small package. Super Lemon Haze is a cross between Lemon Skunk and Super Silver Haze.  This sativa-dominant cultivar has dense, light green buds and aromas of citrus, gas, and fruit. Terpenes include limonene, linalool, and beta-myrcene. Produced on Stó:lō traditional territory; all of our flower is hang dried, slow cured, and non-irradiated. ",7g,0–1%,25–30%,"High-THC, sativa-dominant smalls with citrus, gas, and fruit aromas. Energizing and uplifting effects for a flavorful smoking experience."
1068653,JUICE BOX,DEALR,Flower,Sativa,SATIVA,"High-THC, sativa-dominant flower with sweet berry, floral, and gassy flavours.","Juice Box, a sativa-dominant banger bred from Strawberry Horchata and Space Candy, quenches your palate with sweet-berry juices and floral, gassy flavours, accented by a sharp, sugary sting that lingers on your tongue. Juice Box's nose slams you with ripe strawberry and candied zest, developing into a starry tang. The terpene profile includes caryophyllene, limonene, and terpinolene. The buds are sticky with purple streaks on a background of neon green.",28g,0–2%,29–33%,"Juice Box: Sweet, berry, floral, gassy sativa flower with high THC. Energizing and uplifting effects. Unique and flavorful choice."
1068784,CHOCOLATE CHIP COOKIE,Big Pete's Treats,Edibles,Baked Goods,HYBRID,Chocolate chip cookie made from cannabutter with 10mg THC.,"A 10mg cannabutter cookie. Crafted from single-strain, locally grown smalls and trim. The Chocolate Chip is a classic - a soft, chewy, and delicious cannabutter cookie.",27g,0mg,10mg,Delicious chocolate chip cookie infused with 10mg THC for a relaxing and flavorful edible experience.
1068830,THC:CBD 1:1 LIVE ROSIN CARTRIDGE LTO,Brindle Farms,Inhalable Extracts,Cartridge,INDICA,"Limited-time-only, 2g, indica-dominant, live-rosin cart with a balanced ratio of THC and CBD.","Available for limited time. Brindle Farms Live Rosin 1:1 CBD Vape Cart offers balanced equal parts of CBD and THC. Crafted from high-quality, solvent-free live rosin, this 2g vape cart ensures purity and potency. Enjoy a smooth, flavourful vapor with every inhale.",2g,32–38%,32–38%,"Limited-time-only 2g live rosin cartridge with balanced THC:CBD ratio. Indica-dominant for a smooth, relaxing experience. Unique and flavorful."
1068953,PERMANENTLY JEALOUS LTO,Carmel,Flower,Indica,INDICA,"Limited-time-only, high-THC, indica-dominant flower boasting gas and funk, and citrus notes.","Available for limited time only. Permanently Jealous was created through a breeding collaboration between Carmel and Treez. Created by crossing Permanent Marker and Jealousy, Permanently Jealous delivers equal parts gas and funk, with just the right amount of citrus. Upon opening your pouch, expect dense, deep-green buds, with light marbling and bright orange hairs. Terpenes include limonene, caryophyllene, and farnesene. ",3.5g,0–2%,28–32%,"Limited-time-only PERMANENTLY JEALOUS LTO is a high-THC indica with gas, funk, and citrus flavors. Perfect for a potent, unique experience."
1068959,SUPER SILVER BUBBA PRE-ROLLS,DEALR,Pre-roll,Hybrid,HYBRID,"Five-pack of high-THC, hybrid pre-rolls with earthy pine, citrus zest, and a hint of hash.","Roll out with Super Silver Bubba, the newest five-pack of half-gram joints, packed with flower grown in-house at their brand-new indoor facility in Salmon Arm. Bred from the iconic Super Silver Haze x Bubba Kush cross, this hybrid brings classic West Coast energy with fresh finesse: earthy pine, citrus zest, and a little hashy hug on the finish. When the deal is real, it’s DEALR. Grown with care, crafted with authentic BC love, and priced so everyone can get in on the good stuff.",2.5g,0–2%,29–32%,"Five-pack of potent hybrid pre-rolls with earthy pine, citrus zest, and hash undertones. High-THC for a relaxing yet uplifting experience."
1068969,RAINBOW INFERNO 5280,Mint Cannabis,Flower,Indica,INDICA,"High-THC, indica-dominant flower with notes of sweet, sugary fruit and cookies.","Rainbow Inferno 5280 is pure gas from the deepest side of Dante’s Nine Circles. Unapologetically loud, this indica-dominant variety is bred by the one and only Mile High Dave and cultivated by Paradise Valley Botanics for their brand, Mint Cannabis. This 7g glass jar marks the official launch of a true heavyweight: pheno #22 of Dante’s Inferno #8 crossed with RS11. Hand-selected after multiple runs and held close until the time was right, this drop is a flex for Mint Cannabis—layered with sweet, sugary fruit and cookie-shop nostalgia. Skunky, funky, and super chunky, Rainbow Inferno 5280 is a new reason to spark something feral.",7g,0–2%,29–32%,"High-THC, indica-dominant flower with sweet, sugary fruit and cookie flavors. Perfect for relaxation and euphoria. Experience the Rainbow Inferno 5280."
1068971,MANGO CAKE LIVE RESIN AIO DISPOSABLE PEN LTO,Good Buds,Inhalable Extracts,Disposable Pens,SATIVA,"Limited-time-only, sativa-dominant, live-resin, disposable vape with true-to-flower flavour.","Available for a limited time only! Extracted from their house-bred LSO Mango Cake, this 100% pure single-strain Live Resin All-in-One Vape delivers fresh-plant, terpy flavours —no added terpenes or distillate. Packed in a convenient, all-in-one vape with ceramic core, ceramic post, and a microchip to regulate temperatures for the ultimate expression of Mango Cake flavours and terpenes.

Bred in-house, Mango Cake is an exotic dessert cross of GOOD BUDS’ juicy Mango Taffie with sweet and creamy Wedding Cake. It leads with classic Mango Taffie smells of ripe mango sweetness with a gassy afterburn, followed by sweet vanilla undertones and a creamy mouthfeel on the exhale. It’s crafted in small batches from their organically grown flower that's been fresh frozen and extracted by Common Roots Extracts on Vancouver Island, BC.

Pure flavor. Small batch. Organically grown.
",1g,0–1%,72–77%,Limited-time-only sativa-dominant disposable vape pen with mango cake live resin. True-to-flower flavor for a unique and potent experience.
1068986,WHITE MIMOSA LIVE RESIN VAPE,Wildcard Extracts,Inhalable Extracts,Cartridge,SATIVA,"Sativa-dominant, live-resin cart with sweet, fruity, and citrus flavours.","White Mimosa Live Resin is a potent and flavourful, full-spectrum extract crafted from a fusion of White Widow and Mimosa Evo cultivars. Offering a delectable combination of sweet, fruity, and citrus flavours, this concentrate is sure to delight your taste buds with every hit. Perfect for cannabis enthusiasts looking for a well-rounded smoking experience",1g,0–3%,70–76%,"Sativa-dominant vape with sweet, fruity, and citrus flavors. Live-resin cart for a potent and flavorful experience."
1068996,BANJORINE DREAM LIVE ROSIN FIZZ,Sheesh Hash Sodas,Beverages,Carbonated Drink,SATIVA,"Carbonated beverage with notes of sweet vanilla and tangerine, infused with 10mg of live rosin THC.","Banjo Cake Live Rosin takes this tangy cream soda to the next level. This tangy, sweet cultivar pairs perfectly with real tangerine juice and vanilla, making it the tastiest, potent beverage.",355,0mg,10mg,"Banjorine Dream Live Rosin Fizz: A fizzy drink with sweet vanilla and tangerine flavors, infused with 10mg of live rosin THC for a unique experience."
1068999,10X THE MADNESS: THE RED ONE INDICA THC GUMMIES,No Future,Edibles,Chews,INDICA,10-pack of watermelon-flavoured gummies infused with 10mg THC per piece. 100mg THC total.,"In 10X The Madness, they've taken 10 individual packets of fan-favourite No Future The Red One Gummies and built the ultimate 100mg THC package.",100g,0–10mg,100mg,Watermelon-flavoured THC gummies with 10mg per piece. 100mg total. Get ready for a relaxing experience with The Red One Indica.
1069000,10X THE MADNESS: THE BLUE ONE SATIVA THC GUMMIES,No Future,Edibles,Chews,SATIVA,10-pack of berry-flavoured gummies infused with 10mg THC per piece. 100mg THC total.,"In 10X The Madness, they've taken 10 individual packets of fan-favourite No Future The Blue One Gummies and built the ultimate 100mg THC package.",100g,0–10mg,100mg,"Get ready for a wild ride with 10X The Madness: The Blue One Sativa THC gummies. Berry-flavored, 10mg THC per piece, 100mg total."
1069008,MEGA PURPLE RESIN INFUSED GUMMIES,Woody Nelson,Edibles,Chews,HYBRID,"10-pack of resin-infused gummies with 10mg THC per piece, featuring notes of grape, elderberry, and black currant.","The Mega Purple Gummy features Gastro Pop by JR Strain, extracted by Wildcard Extracts, and made into gummies by Elevate Wellness in Port Coquitlam. Each bag includes 10 x 10mg resin-infused gummies (individual packed) with notes of grape, elderberry, and black currant. Made in BC.",40g,0mg,100mg,"10-pack of potent THC gummies with grape, elderberry, and black currant flavors. Each piece has 10mg THC for a fruity, relaxing experience."
1069020,SHRED'EMS SHARK ATTACK MAX10 PCK THC SATIVA CHEWS,SHRED'EMS,Edibles,Chews,SATIVA,10-pack of blue-raspberry-apple gummies with 10mg THC per gummy. 100mg THC total.,"SHRED’ems Shark Attack Party Pack has 10 packs of MAX10 gummies, each with 10mg THC for a total 100MG THC PER PACK! These sativa-dominant gummies unleash a fierce wave of jaw-dropping blue raspberry and green apple flavour.",45g,0–5mg,100mg,Enjoy a fruity blast with SHRED'EMS Shark Attack Max10 PCK THC Sativa Chews. Each gummy packs 10mg THC for a total of 100mg.
1069021,SHRED'EMS RED APPLE PEACH MAX10 THC INDICA CHEWS,SHRED'EMS,Edibles,Chews,INDICA,10-pack of apple-peach gummies infused with 10mg THC per gummy. 100mg THC total.,"SHRED’ems Red Apple Peach Party Pack is a 10-pack of MAX10 gummies, each with 10mg THC for a total 100MG THC PER PACK! These juicy indica gummies blend the crisp sweetness of red apple with the smooth, mellow flavour of ripe juicy peach.",45g,0–5mg,100mg,Apple-peach gummies with 10mg THC each for a total of 100mg. Relaxing indica chews perfect for a sweet and mellow experience.
1069061,ANYTIME 1:1 PEACH PLEASE CARTRIDGE,Glacial Gold,Inhalable Extracts,Cartridge,BLEND,Balanced CBD and THC cart with a sweet peach flavour.,"Glacial Gold Anytime 1:1 Peach Please vapes offer a balanced blend of CBD and THC, crafted with Nextleaf’s premium, high-purity distillates. Infused with refreshing botanical terpene blends, they deliver a sweet, vibrant flavour experience.",1g,39–45%,39–45%,Balanced CBD/THC cartridge with sweet peach flavor. Perfect for anytime use.
1069077,LEMON GELATO,All Nations,Flower,Sativa,SATIVA,"High-THC, sativa-dominant flower with sweet aromas of lemon and berries.","Lemon Gelato is a cross between Lemon Haze and Gelato genetics.  This sativa-dominant cultivar delivers a flavour-packed experience, with sweet aromas of lemon and berries.  Lemon Gelato has light green nugs with amber hairs and a frosty coating of trichomes.  All Nations' flower is always hang-dried, hand-trimmed, and slow cured to perfection. Produced on Stó:lō traditional territory, weaving Indigenous values with craft cultivation methods.",3.5g,0–1%,25–30%,"Lemon Gelato: Potent sativa flower with sweet lemon and berry scents. High THC for a uplifting, energizing effect. Enjoy the fruity flavor."
1069078,ROCKSTAR,All Nations,Flower,Indica,INDICA,"High-THC, indica-dominant flower offering subtle hints of earth, spice, and citrus.","Rockstar is an indica-dominant cultivar, created by crossing Rockbud and Sensi Start genetics.  This gassy cultivar also offers subtle hints of earth, spice, and citrus.  Rockstar has deep green buds with purple hues that are speckled by a heavy dusting of crystal trichomes.  All Nations' flower is always hang-dried, hand-trimmed, and slow cured to perfection. Produced on Stó:lō traditional territory, weaving Indigenous values with craft cultivation methods.",3.5g,0–1%,25–30%,"Rockstar is a potent indica-dominant flower with earthy, spicy, and citrus flavors, perfect for a relaxing and calming experience."
1069083,BBOB GMO KUSH,Big Bag O' Buds,Flower,Indica,INDICA,"Indica-dominant flower with offering pungent, funky profile with earthy kush aromas.","GMO Kush from Big Bag O' Buds offers 28g of flower with 22%+ THC. This cultivar delivers a pungent, funky profile with earthy kush aromas that make an impression. With bold, robust flavours and a smooth finish, it’s the perfect choice for those who enjoy a heavy-hitting, aromatic experience. Packaged in the iconic silver bag, it’s all about quality (not to mention quantity!).",28g,0–0.1%,22–28%,"BBOB GMO KUSH: Indica-dominant flower with pungent, funky profile and earthy kush aromas. Unique and flavorful choice for relaxation."
1069117,BC ORGANIC PINK DRIP LTO,Simply Bare,Flower,Indica,INDICA,"Limited-time-only, high-THC, indica-dominant flower with sweet and gassy notes.","Available for a limited time only! Introducing BC Organic Pink Drip, Simply Bare’s latest find from an extensive genetic hunt. This cultivar boasts a unique and irresistible blend of sweet and gassy notes that hit just right, offering a smooth and complex taste that cannabis enthusiasts will crave. This indica-dominant cultivar is a cross of Skunk x Animal Mints, and is grown in organic living soil at their greenhouse in Delta, BC. Hang-dried, hand-trimmed, and cold cured, these beautiful buds are packed in a glass jar for optimal freshness.",28g,0–1%,26–32%,BC Organic Pink Drip LTO: Sweet and gassy indica flower. Limited time only. High THC.
